count,signal,attention,meditation,delta,theta,lalpha,halpha,lbeta,hbeta,lgamma,hgamma,tasks
1,0,69,75,11.8365001678467,2.667799949646,0.126300007104874,5.32359981536865,2.12619996070862,2.28509998321533,0.754199981689453,1.74150002002716,read
2,0,69,53,22.7409992218018,5.88320016860962,0.574000000953674,2.64199995994568,1.93079996109009,0.861599981784821,0.375,0.562399983406067,read
3,0,48,50,1.57120001316071,4.27180004119873,0.680999994277954,0.214000001549721,0.635599970817566,0.292499989271164,7.58000016212463E-2,1.73000004142523E-2,read
4,0,48,38,7.5423002243042,6.87459993362427,0.56989997625351,2.56319999694824,7.48099994659424,1.06180000305176,1.66439998149872,0.42059999704361,read
5,0,37,43,8.14620018005371,7.23850011825562,5.48449993133545,2.77040004730225,1.47319996356964,1.94990003108978,1.27699995040894,0.66619998216629,read
6,0,41,61,25.7238998413086,4.2386999130249,7.03439998626709,1.39079999923706,2.0485999584198,1.91349995136261,1.06700003147125,0.395099997520447,read
7,0,40,60,7.35489988327026,5.65619993209839,0.746900022029877,0.923399984836578,2.4235999584198,0.364300012588501,0.317999988794327,7.38999992609024E-2,read
8,0,40,60,7.35489988327026,5.65619993209839,0.746900022029877,0.923399984836578,2.4235999584198,0.364300012588501,0.317999988794327,7.38999992609024E-2,read
9,0,43,54,11.4176998138428,1.43910002708435,0.203799992799759,1.42400002479553,0.587999999523163,0.488499999046326,0.372200012207031,0.351700007915497,read
10,0,37,48,3.41389989852905,4.16940021514893,2.23510003089905,3.89540004730225,2.87420010566711,0.757600009441376,3.2033998966217,0.75789999961853,read
11,0,51,64,4.71750020980835,5.50930023193359,2.21589994430542,6.14219999313354,1.64419996738434,2.34579992294312,1.24880003929138,0.31139999628067,read
12,0,35,74,25.9638996124268,35.7598991394043,10.7372999191284,7.57859992980957,3.62220001220703,1.20340001583099,1.87940001487732,0.555299997329712,read
13,0,38,75,11.2497997283936,4.18480014801025,2.23000001907349,6.45900011062622,9.25979995727539,2.74130010604858,1.60539996623993,0.863900005817413,read
14,0,50,66,30.4599990844727,2.13359999656677,4.43000011146069E-2,2.15820002555847,0.573000013828278,0.847199976444244,0.612399995326996,0.131600007414818,read
15,0,48,63,2.82949995994568,4.5991997718811,1.28320002555847,4.46920013427734,3.12960004806519,1.53139996528625,0.614799976348877,0.269499987363815,read
16,0,66,48,8.51459980010986,2.51550006866455,0.119800001382828,0.523999989032745,0.412000000476837,0.404399991035461,0.349799990653992,0.245399996638298,read
17,0,64,53,42.7756004333496,3.59739995002747,2.49149990081787,5.06519985198975,2.78520011901855,2.23580002784729,1.5032000541687,0.953800022602081,read
18,0,64,53,1.91620004177094,4.18020009994507,1.06920003890991,2.04579997062683,1.66919994354248,1.63789999485016,1.3367999792099,0.150199994444847,read
19,0,67,56,5.16130018234253,2.66569995880127,3.81389999389648,2.19140005111694,3.77699995040894,2.05380010604858,0.776199996471405,0.262199997901917,read
20,0,48,60,13.6990995407104,21.9078006744385,2.13170003890991,2.28559994697571,1.53219997882843,0.522300004959106,0.167199999094009,0.152600005269051,read
21,0,40,53,29.4838008880615,17.5020999908447,2.72449994087219,18.6392002105713,7.45300006866455,3.46280002593994,2.24140000343323,0.358599990606308,read
22,0,35,60,14.6990003585815,1.46300005912781,0.112800002098083,2.02600002288818,0.600799977779388,0.375800013542175,0.288800001144409,6.67999982833862E-2,read
