count,signal,attention,meditation,delta,theta,lalpha,halpha,lbeta,hbeta,lgamma,hgamma,tasks
2,25,78,61,679.666,6.352,0.561,7.359,7.234,7.3,0.812375249500998,0.183366733466934,noparadigm
3,0,91,64,685.183,7.1,13.399,7.254,11.961,9.944,7.33532934131737,36.685370741483,noparadigm
4,0,77,70,639.066,238.781,75.1,71.582,53.205,21.177,55.0249500998004,82.7585170340681,noparadigm
5,0,51,80,453.971,129.489,75.673,53.427,27.156,11.197,3.81337325349301,21.060120240481,noparadigm
6,0,38,83,397.042,13.689,4.989,3.573,2.719,3.362,1.27744510978044,4.39078156312625,noparadigm
7,0,13,74,1156.747,75.668,25.074,13.237,13.833,8.275,2.12275449101796,43.5791583166333,noparadigm
8,0,35,66,131.708,22.187,7.553,5.376,12.616,7.221,2.51497005988024,19.3507014028056,noparadigm
9,0,34,44,1025.252,1417.143,224.081,156.979,197.198,39.139,35.5,322.171342685371,noparadigm
10,0,14,44,293.949,85.025,31.032,10.621,12.242,4.396,1.57884231536926,65.563126252505,noparadigm
11,0,1,37,199.164,81.592,19.515,4.928,3.272,1.991,1.16467065868263,84.9138276553106,noparadigm
12,0,1,47,107.2,24.01,5.125,13.204,3.73,3.222,0.517964071856287,16.3186372745491,noparadigm
13,0,1,66,1466.421,356.388,128.251,133.19,13.758,12.305,14.1926147704591,317.778557114228,noparadigm
14,0,1,77,1075.117,111.716,7.265,103.685,8.533,13.721,6.15369261477046,366.892785571142,noparadigm
15,0,13,81,315.902,12.048,3.033,3.122,4.451,1.06,0.405189620758483,28.8426853707415,noparadigm
16,0,14,67,246.407,35.836,5.341,6.397,7.56,3.646,1.31137724550898,101.163326653307,noparadigm
17,0,27,35,79.132,20.416,0.809,0.839,1.812,1.171,0.249500998003992,23.3086172344689,noparadigm
18,0,17,1,91.693,101.773,5.972,3.108,13.468,3.312,1.45409181636727,99.5460921843687,noparadigm
19,0,10,23,704.012,120.33,144.949,42.663,8.099,11.565,1.69860279441118,371.927855711423,noparadigm
20,0,1,13,594.246,409.228,16.673,31.114,67.937,10.804,2.40219560878243,353.03006012024,noparadigm
21,0,1,27,289.915,147.669,14.217,16.438,6.256,7.361,2.84530938123752,96.0140280561122,noparadigm
22,0,1,44,83.889,18.664,3.541,1.477,0.985,0.635,0.548902195608782,20.0861723446894,noparadigm
23,0,1,17,913.229,748.021,37.326,172.688,152.019,83.006,15.3652694610778,440.487975951904,noparadigm
24,0,1,20,1419.646,727.818,52.948,29.614,52.309,9.448,7.32135728542914,112.134268537074,noparadigm
25,0,14,11,171.785,80.805,6.958,4.825,8.19,10.711,5.55189620758483,12.6082164328657,noparadigm
26,0,34,30,316.371,553.95,378.408,333.536,52.465,108.068,70.4121756487026,32.0981963927856,noparadigm
27,0,38,47,1523.831,181.588,126.571,52.805,48.595,39.697,105.236526946108,12.0791583166333,noparadigm
28,0,60,53,1204.898,219.129,34.091,13.833,37.695,24.348,19.4820359281437,8.91783567134268,noparadigm
29,0,56,75,791.629,153.12,42.744,42.86,6.652,18.668,19.3572854291417,10.7955911823647,noparadigm
30,0,51,56,663.607,354.231,95.159,20.876,34.671,27.229,5.60778443113772,63.6462925851703,noparadigm
31,0,44,48,592.389,57.601,11.171,9.464,4.431,4.752,3.92015968063872,8.37074148296593,noparadigm
32,0,48,74,1094.054,19.607,14.98,18.568,10.083,4.623,4.06087824351297,47.3196392785571,noparadigm
33,0,29,63,146.379,179.945,13.217,34.59,4.095,4.043,3.03992015968064,35.6172344689379,noparadigm
34,0,27,64,1361.356,106.106,8.705,34.09,17.763,6.85,4.04491017964072,18.2715430861723,noparadigm
35,0,35,56,383.402,156.232,23.491,7.969,19.939,24.103,35.5369261477046,37.062124248497,noparadigm
36,0,40,37,983.393,89.101,21.81,13.091,29.27,16.996,16.1686626746507,33.0921843687375,noparadigm
37,0,70,48,8.185,8.082,8.657,2.295,3.509,5.868,2.98003992015968,11.0060120240481,noparadigm
38,0,91,44,5.539,14.63,2.997,5.575,12.322,5.855,6.75748502994012,9.85070140280561,noparadigm
39,0,94,56,114.306,16.361,7.408,1.979,5.114,4.407,3.5938123752495,11.185370741483,noparadigm
40,0,100,78,3.758,4.388,1.462,10.378,2.547,3.83,5.20858283433134,7.60320641282565,noparadigm
41,0,84,66,116.264,140.304,28.341,16.629,8.984,14.317,16.9341317365269,25.5310621242485,noparadigm
42,0,91,54,2.045,12.718,1.615,0.588,1.98,6.592,3.13273453093812,8.06412825651303,noparadigm
43,0,91,64,5.515,7.189,7.241,3.091,3.614,3.416,2.312375249501,7.30761523046092,noparadigm
44,0,90,30,103.057,31.203,2.863,1.133,0.979,7.105,2.81736526946108,7.99498997995992,noparadigm
45,0,100,37,4.696,5.55,2.447,3.543,4.059,5.435,2.57884231536926,7.8376753507014,noparadigm
46,0,93,47,172.166,45.381,10.251,1.355,7.35,4.454,2.93013972055888,11.249498997996,noparadigm
47,0,100,51,406.197,20.56,20.57,63.702,11.2,38.937,6.92415169660679,26.9478957915832,noparadigm
48,0,90,61,544.433,200.774,33.331,22.969,25.325,20.873,4.52794411177645,29.0490981963928,noparadigm
49,0,87,56,5.344,8.882,0.778,3.094,2.453,4.247,2.96906187624751,5.58817635270541,noparadigm
50,0,100,81,23.707,1.797,11.024,3.073,3.22,4.721,1.68063872255489,6.59318637274549,noparadigm
51,0,84,60,163.707,63.984,14.937,4.375,2.98,6.857,2.66167664670659,5.77054108216433,noparadigm
52,0,83,51,63.524,66.093,1.562,7.433,4.19,5.707,1.46806387225549,5.20541082164329,noparadigm
53,0,75,70,12.846,9.729,11.128,7.865,4.457,4.812,0.984031936127745,7.91783567134269,noparadigm
54,0,69,64,312.687,37.484,18.512,30.69,4.981,17.067,11.2205588822355,22.5861723446894,noparadigm
55,0,90,69,1.404,11.607,2.127,5.886,1.508,10.447,1.60179640718563,6.50200400801603,noparadigm
56,0,100,84,394.327,26.519,11.61,3.384,6.555,8.816,8.07684630738523,25.7865731462926,noparadigm
57,0,100,64,101.434,10.643,3.386,0.998,2.236,6.987,1.07385229540918,6.43386773547094,noparadigm
